  Steps: 0000M | FPS: 67330 | Reward: 110.62 | Latent MSE: 0.2224 | Best: 115.87
  Steps: 0000M | FPS: 67625 | Reward: 115.69 | Latent MSE: 0.2211 | Best: 115.87
  Steps: 0000M | FPS: 67923 | Reward: 115.67 | Latent MSE: 0.2198 | Best: 115.87
  Steps: 0000M | FPS: 68230 | Reward: 115.64 | Latent MSE: 0.2185 | Best: 115.87
  Steps: 0000M | FPS: 68477 | Reward: 116.06 | Latent MSE: 0.2172 | Best: 116.06
  Steps: 0000M | FPS: 68694 | Reward: 117.69 | Latent MSE: 0.2159 | Best: 117.69
  Steps: 0000M | FPS: 68936 | Reward: 118.64 | Latent MSE: 0.2147 | Best: 118.64
  Steps: 0000M | FPS: 69166 | Reward: 121.54 | Latent MSE: 0.2135 | Best: 121.54
  Steps: 0000M | FPS: 69452 | Reward: 119.40 | Latent MSE: 0.2123 | Best: 121.54
  Steps: 0000M | FPS: 69722 | Reward: 120.90 | Latent MSE: 0.2111 | Best: 121.54
  Steps: 0000M | FPS: 69928 | Reward: 121.15 | Latent MSE: 0.2100 | Best: 121.54
  Steps: 0000M | FPS: 70154 | Reward: 120.95 | Latent MSE: 0.2088 | Best: 121.54
  Steps: 0000M | FPS: 70434 | Reward: 121.16 | Latent MSE: 0.2077 | Best: 121.54
  Steps: 0000M | FPS: 70689 | Reward: 121.45 | Latent MSE: 0.2067 | Best: 121.54
  Steps: 0000M | FPS: 70913 | Reward: 121.37 | Latent MSE: 0.2056 | Best: 121.54
  Steps: 0000M | FPS: 71136 | Reward: 120.73 | Latent MSE: 0.2046 | Best: 121.54
  Steps: 0000M | FPS: 71409 | Reward: 120.69 | Latent MSE: 0.2036 | Best: 121.54
  Steps: 0000M | FPS: 71624 | Reward: 120.93 | Latent MSE: 0.2026 | Best: 121.54
  Steps: 0000M | FPS: 71794 | Reward: 122.41 | Latent MSE: 0.2016 | Best: 122.41
  Steps: 0000M | FPS: 71961 | Reward: 125.44 | Latent MSE: 0.2006 | Best: 125.44
  Steps: 0000M | FPS: 72186 | Reward: 129.00 | Latent MSE: 0.1996 | Best: 129.00
  Steps: 0000M | FPS: 72410 | Reward: 131.38 | Latent MSE: 0.1986 | Best: 131.38
