  Steps: 0000M | FPS: 88819 | Reward: 127.36 | Latent MSE: 0.3096 | Best: -1000000.00
  Steps: 0000M | FPS: 89758 | Reward: 127.36 | Latent MSE: 0.3074 | Best: -1000000.00
  Steps: 0000M | FPS: 90705 | Reward: 127.36 | Latent MSE: 0.3053 | Best: -1000000.00
  Steps: 0000M | FPS: 91561 | Reward: 127.36 | Latent MSE: 0.3032 | Best: -1000000.00
  Steps: 0000M | FPS: 92217 | Reward: 127.36 | Latent MSE: 0.3011 | Best: -1000000.00
  Steps: 0000M | FPS: 87120 | Reward: 105.67 | Latent MSE: 0.2991 | Best: -1000000.00
  Steps: 0000M | FPS: 87980 | Reward: 105.67 | Latent MSE: 0.2971 | Best: -1000000.00
  Steps: 0000M | FPS: 83467 | Reward: 99.38 | Latent MSE: 0.2952 | Best: -1000000.00
  Steps: 0000M | FPS: 84230 | Reward: 115.68 | Latent MSE: 0.2934 | Best: -1000000.00
  Steps: 0000M | FPS: 85022 | Reward: 113.05 | Latent MSE: 0.2918 | Best: -1000000.00
  Steps: 0000M | FPS: 85774 | Reward: 115.58 | Latent MSE: 0.2903 | Best: -1000000.00
  Steps: 0000M | FPS: 86362 | Reward: 116.32 | Latent MSE: 0.2889 | Best: -1000000.00
  Steps: 0000M | FPS: 87025 | Reward: 119.06 | Latent MSE: 0.2876 | Best: 119.06
  Steps: 0000M | FPS: 87665 | Reward: 124.56 | Latent MSE: 0.2864 | Best: 124.56
  Steps: 0000M | FPS: 88232 | Reward: 124.50 | Latent MSE: 0.2852 | Best: 124.56
  Steps: 0000M | FPS: 88644 | Reward: 118.72 | Latent MSE: 0.2841 | Best: 124.56
  Steps: 0000M | FPS: 89035 | Reward: 115.04 | Latent MSE: 0.2829 | Best: 124.56
  Steps: 0000M | FPS: 89684 | Reward: 113.03 | Latent MSE: 0.2817 | Best: 124.56
  Steps: 0000M | FPS: 90373 | Reward: 112.16 | Latent MSE: 0.2805 | Best: 124.56
  Steps: 0000M | FPS: 91067 | Reward: 111.30 | Latent MSE: 0.2792 | Best: 124.56
  Steps: 0000M | FPS: 91723 | Reward: 110.48 | Latent MSE: 0.2778 | Best: 124.56
  Steps: 0000M | FPS: 92395 | Reward: 110.73 | Latent MSE: 0.2765 | Best: 124.56
  Steps: 0000M | FPS: 93052 | Reward: 110.29 | Latent MSE: 0.2751 | Best: 124.56
  Steps: 0000M | FPS: 93710 | Reward: 110.79 | Latent MSE: 0.2737 | Best: 124.56
  Steps: 0000M | FPS: 94374 | Reward: 110.65 | Latent MSE: 0.2723 | Best: 124.56
  Steps: 0000M | FPS: 95040 | Reward: 111.43 | Latent MSE: 0.2709 | Best: 124.56
  Steps: 0000M | FPS: 95694 | Reward: 111.49 | Latent MSE: 0.2694 | Best: 124.56
  Steps: 0000M | FPS: 96332 | Reward: 112.01 | Latent MSE: 0.2680 | Best: 124.56
  Steps: 0000M | FPS: 96957 | Reward: 112.11 | Latent MSE: 0.2666 | Best: 124.56
  Steps: 0000M | FPS: 97587 | Reward: 111.85 | Latent MSE: 0.2652 | Best: 124.56
  Steps: 0000M | FPS: 98197 | Reward: 111.66 | Latent MSE: 0.2638 | Best: 124.56
  Steps: 0000M | FPS: 98809 | Reward: 111.55 | Latent MSE: 0.2625 | Best: 124.56
  Steps: 0000M | FPS: 99431 | Reward: 111.89 | Latent MSE: 0.2611 | Best: 124.56
  Steps: 0000M | FPS: 100017 | Reward: 111.64 | Latent MSE: 0.2598 | Best: 124.56
  Steps: 0000M | FPS: 100603 | Reward: 111.13 | Latent MSE: 0.2584 | Best: 124.56
  Steps: 0000M | FPS: 101195 | Reward: 111.41 | Latent MSE: 0.2571 | Best: 124.56
  Steps: 0000M | FPS: 101775 | Reward: 112.42 | Latent MSE: 0.2559 | Best: 124.56
  Steps: 0000M | FPS: 102365 | Reward: 112.46 | Latent MSE: 0.2546 | Best: 124.56
  Steps: 0000M | FPS: 102934 | Reward: 112.24 | Latent MSE: 0.2534 | Best: 124.56
  Steps: 0000M | FPS: 103435 | Reward: 112.21 | Latent MSE: 0.2521 | Best: 124.56
  Steps: 0000M | FPS: 103950 | Reward: 112.32 | Latent MSE: 0.2509 | Best: 124.56
  Steps: 0000M | FPS: 104476 | Reward: 113.73 | Latent MSE: 0.2497 | Best: 124.56
