frame,time_s,root_x,root_y,root_z,root_vx,root_vy,root_vz,root_wx,root_wy,root_wz
121,2.016667,0.98814273,0.52570248,0.84405446,1.50295210,0.08867669,-0.05517416,-0.21680290,0.35189474,-0.84020489
122,2.033333,1.03876173,0.52868283,0.84229708,1.50893438,0.08782969,-0.08121621,-0.31969658,0.36865214,-0.78301442
123,2.050000,1.03876173,0.52868283,0.84229708,1.51842952,0.08678270,-0.10783632,-0.37330082,0.34094691,-0.65721887
124,2.066667,1.08809960,0.53113812,0.83812785,1.53578675,0.08664034,-0.13436380,-0.34253603,0.26579848,-0.46426323
125,2.083333,1.08809960,0.53113812,0.83812785,1.56263137,0.08666534,-0.15664071,-0.23394835,0.16046026,-0.23779701
126,2.100000,1.14077294,0.53462636,0.83237040,1.59747589,0.08551061,-0.16638872,-0.08232316,0.06289037,-0.02608970
127,2.116667,1.14077294,0.53462636,0.83237040,1.63697553,0.08280850,-0.15428931,0.07998937,0.01161157,0.13261433
128,2.133333,1.19539380,0.53694052,0.82307410,1.67596710,0.07927160,-0.11761434,0.25138068,0.01350247,0.22600737
129,2.150000,1.19539380,0.53694052,0.82307410,1.70660031,0.07578514,-0.06552177,0.45491192,0.03134714,0.26790056
130,2.166667,1.25497043,0.53979939,0.82531559,1.71984506,0.07332431,-0.01352335,0.69468343,0.01127278,0.28415698
131,2.183333,1.25497043,0.53979939,0.82531559,1.70988095,0.07350009,0.02892393,0.92628622,-0.07289082,0.28772539
132,2.200000,1.31348050,0.54134655,0.82633436,1.67774177,0.07785744,0.06408682,1.08128703,-0.19842251,0.26134002
133,2.216667,1.31348050,0.54134655,0.82633436,1.63092315,0.08609305,0.09975670,1.11755860,-0.31224579,0.17286062
134,2.233333,1.36627233,0.54466200,0.82908535,1.57926989,0.09556298,0.13961481,1.04307473,-0.37153715,0.02029441
135,2.250000,1.36627233,0.54466200,0.82908535,1.53030133,0.10288681,0.17956758,0.89933056,-0.36862496,-0.14364009
136,2.266667,1.41601110,0.54864705,0.83745599,1.48720241,0.10587972,0.21140039,0.72830516,-0.32212645,-0.24252744
137,2.283333,1.41601110,0.54864705,0.83745599,1.45022368,0.10415439,0.22864474,0.55161059,-0.25535551,-0.23144390
138,2.300000,1.46375704,0.55221438,0.84623301,1.41939020,0.09849805,0.22935566,0.37510097,-0.18755247,-0.12262216
139,2.316667,1.46375704,0.55221438,0.84623301,1.39571178,0.09000258,0.21477734,0.20998624,-0.13482411,0.03424714
140,2.333333,1.50872588,0.55516917,0.85372317,1.37988865,0.07963548,0.18685028,0.08611867,-0.10704470,0.19099748
141,2.350000,1.50872588,0.55516917,0.85372317,1.37060571,0.06827127,0.14758609,0.03788099,-0.10353372,0.32516629
142,2.366667,1.55477297,0.55723780,0.85887456,1.36515176,0.05680827,0.10049845,0.07062802,-0.11591107,0.43478721
143,2.383333,1.55477297,0.55723780,0.85887456,1.36192179,0.04601024,0.05186065,0.14805755,-0.13451228,0.52220440
144,2.400000,1.59971929,0.55839491,0.85860550,1.36164486,0.03610271,0.00953806,0.21991447,-0.15079685,0.58750808
145,2.416667,1.59971929,0.55839491,0.85860550,1.36568832,0.02658443,-0.02022598,0.25920141,-0.15750352,0.63303429
146,2.433333,1.64469385,0.55933559,0.85623300,1.37332106,0.01666147,-0.03549767,0.26840585,-0.15023440,0.66614556
147,2.450000,1.64469385,0.55933559,0.85623300,1.37991047,0.00608272,-0.03881960,0.25989971,-0.12872693,0.69421065
148,2.466667,1.69188666,0.55934322,0.85495353,1.37581456,-0.00434978,-0.03510581,0.23863076,-0.09516022,0.71543336
149,2.483333,1.69188666,0.55934322,0.85495353,1.34368515,-0.01300961,-0.02892540,0.20236675,-0.05359277,0.71357453
150,2.500000,1.73802412,0.55840278,0.85430121,1.25697982,-0.01821737,-0.02284609,0.15220161,-0.01227559,0.66450703
151,2.516667,1.73802412,0.55840278,0.85430121,1.09044707,-0.01912023,-0.01746730,0.09819271,0.01733737,0.55488026
152,2.533333,1.78542006,0.55741847,0.85364902,0.84532511,-0.01624376,-0.01254408,0.05331488,0.02832684,0.40006837
153,2.550000,1.78542006,0.55741847,0.85364902,0.56555712,-0.01134292,-0.00806440,0.02420017,0.02408123,0.24139099
